ngram,count
",c",1752
gt,1716
e!,1681
fy,1676
t',1651
nl,1649
tp,1647
yp,1597
sg,1574
dp,1549
lh,1537
uh,1523
t:,1512
ph,1501
vo,1456
nb,1416
ib,1381
l.,1376
o',1369
uw,1356
xe,1350
",d",1345
iu,1343
lc,1340
ln,1320
wt,1295
s',1285
lp,1266
d:,1257
wr,1253
m.,1253
:i,1252
nu,1249
yg,1246
",p",1233
s!,1222
gn,1221
s?,1203
fs,1192
'e,1151
e-,1114
ju,1113
r:,1107
:t,1103
h.,1100
tg,1090
uk,1085
xi,1081
lw,1078
yy,1069
jo,1059
lk,1057
je,1057
y',1053
uf,1049
t?,1047
kt,1039
sk,1037
yn,1031
n:,1024
np,1024
"a,",1018
"f,",1008
sr,1006
hw,1002
yr,1001
nr,993
.t,986
o.,971
hn,966
",'",965
ah,965
ka,950
l',949
ps,946
d',908
hb,893
lv,892
fw,886
g.,883
d?,876
.i,867
mn,863
r?,863
y:,850
",-",850
mh,814
eq,806
ko,802
hf,797
d!,791
n?,788
ii,786
h',782
mf,773
gm,764
t!,748
u.,730
cc,727
:a,726
n!,725
nv,712
dv,703
.a,689
ae,684
.w,677
hc,671
",r",664
ky,663
"p,",661
cy,648
i.,648
",e",642
gg,638
lr,638
wm,634
hl,630
r!,629
tk,627
y!,626
k',626
ze,617
hd,607
lg,603
gb,602
o-,600
uo,589
xt,587
mw,578
y?,578
:b,577
:w,575
bs,570
fb,568
gw,568
!w,566
.b,557
fc,542
:h,541
k.,537
w',531
py,526
wl,510
l:,505
hp,505
dk,505
xc,504
sv,502
r-,497
t-,495
m:,478
aj,477
-m,475
gf,472
"i,",471
?w,469
w.,468
fg,457
:s,453
f.,452
-b,449
fn,447
!t,444
fd,444
o?,438
-d,436
fp,436
wy,429
bt,429
wd,427
!i,422
-s,420
m',420
.',417
ej,416
nj,416
",u",415
kl,412
yk,404
-e,403
.h,402
yv,398
o!,397
o:,393
gd,385
g',382
ww,380
a',372
kw,372
-h,370
kh,370
ix,369
",k",365
h:,364
d-,361
ja,361
iz,358
rj,355
l!,354
u?,350
hg,348
xp,347
l-,345
km,340
bb,338
g:,338
wf,335
u',335
gy,333
ml,331
nq,329
-t,329
!a,324
!h,324
?i,323
tv,321
p.,319
n-,318
.s,318
-w,316
[a,316
m?,312
yu,308
p',304
.c,303
az,302
-f,298
gc,295
:y,294
vy,289
.o,285
y-,279
-a,277
.e,275
h!,273
.g,272
.f,267
-c,265
sq,262
l?,258
u:,257
?t,256
",v",255
-l,254
gp,254
'a,254
:',250
-n,247
:f,246
g-,246
.l,245
md,245
mc,244
kf,243
wb,240
s-,237
w!,237
wc,235
g?,233
bj,232
-p,231
!',230
a!,230
e],227
'f,226
a.,226
m!,226
k:,224
.y,223
:o,222
h?,217
.m,216
:m,214
?a,211
ku,209
'g,208
pm,207
mg,206
?h,206
ox,203
dj,203
k!,201
!o,199
h-,198
'w,198
:l,196
xa,195
:n,194
.n,194
uy,193
w:,192
ax,191
'h,189
oj,188
'i,188
w?,188
",j",186
yj,185
!s,183
tj,182
za,182
'r,179
!m,177
aa,176
f:,175
rq,173
sj,173
pw,172
'm,172
-g,167
g!,167
a-,164
.p,164
v.,161
'c,155
aq,154
'n,154
?o,154
?s,154
mr,152
dq,150
!b,150
k?,150
'b,147
kb,146
w-,145
:g,143
k-,140
-i,139
:c,138
-o,135
!n,135
!-,135
u!,133
fv,133
oz,128
p:,126
-r,124
!f,124
:d,123
f?,121
tq,121
uu,118
cq,114
?n,114
f',114
f-,114
'o,113
!l,111
.d,111
:p,111
"b,",109
'p,107
oq,106
",q",106
ao,105
!c,105
fj,105
fk,103
wu,98
!y,98
wp,98
hk,97
wg,97
n],96
"x,",95
s],95
.r,94
?d,93
hv,93
a?,93
cb,92
?',91
iq,90
"c,",90
pf,89
kd,87
yq,86
zo,84
[w,84
!g,84
a:,83
bh,82
?l,82
:-,81
!d,80
pb,80
p?,80
?m,79
f!,79
kp,79
nz,79
kc,79
ez,78
b',78
[t,77
?y,77
c.,76
p!,76
p-,73
?c,72
gk,71
?b,70
cs,67
]i,66
[r,66
uv,65
!p,61
mv,61
x',61
hj,61
-v,59
pn,59
?g,58
]w,58
gj,58
?f,58
mk,58
.-,56
'-,56
kr,55
'q,55
]t,55
pd,55
:e,54
xo,54
m-,52
lj,51
gv,51
'y,51
]a,50
xf,50
pc,49
vu,49
bd,48
zz,48
]',48
bm,47
?-,47
zi,47
]h,47
lq,46
kg,46
x.,44
g],43
'?,43
-y,43
ux,42
wk,41
.k,41
cd,41
tz,40
iy,40
'',39
b.,38
xh,38
-k,38
"z,",37
hq,36
cp,36
:r,35
cw,32
]s,32
]o,32
zy,31
fq,31
'v,31
a],30
uj,30
uz,30
-u,29
i:,29
i?,29
pk,27
zl,27
-',27
?p,27
xm,26
]m,26
[s,25
.v,25
mj,25
!e,24
-j,24
bw,24
!r,24
:k,24
xu,23
:u,23
u-,23
]n,22
?r,22
r],21
b-,20
'z,20
yz,18
]y,18
mq,18
uq,18
i-,18
cm,17
!v,16
wj,16
]l,16
.u,16
b?,16
b:,15
gq,15
pg,15
]p,15
cf,14
wv,14
x:,14
]f,14
'k,14
o],14
d],14
c:,14
]b,13
!j,13
ji,13
i!,13
.j,13
'j,13
c!,13
xq,13
"v,",13
]c,13
wq,12
ij,12
'u,12
b!,12
kv,12
[k,12
'!,12
c?,12
!u,12
?e,11
?k,11
-q,11
"',",11
i],10
h],10
[b,9
x!,9
bn,9
xw,9
x?,9
c',9
z:,9
xs,9
bc,9
l],9
]g,9
!k,9
m],8
zu,8
z-,8
t],8
y],8
:j,8
x-,7
.q,7
:v,7
xy,7
xn,7
cg,7
]d,6
zw,6
bg,6
zv,6
cv,6
vr,6
fz,6
k],6
xl,5
:q,5
rz,5
..,5
?u,5
[c,5
z.,5
nx,4
':,4
lz,4
xb,4
sx,4
pj,4
kk,4
[],4
j',4
yx,4
pv,3
sz,3
zp,3
zm,3
",.",3
z!,3
xg,3
",z",3
".,",3
v',3
?j,3
[g,3
]e,3
z?,3
bk,3
[d,2
r[,2
?q,2
.2,2
xd,2
pq,2
[p,2
]u,2
bv,2
zt,2
kq,2
xr,2
!q,2
]v,2
kj,2
bf,2
cj,2
?v,2
2s,2
vl,2
p],2
dz,2
hz,2
0.,1
9.,1
10,1
bp,1
mz,1
vh,1
"-,",1
l[,1
[u,1
v:,1
vs,1
7.,1
'x,1
n[,1
f],1
8.,1
",5",1
6.,1
s),1
s(,1
.6,1
g[,1
",]",1
d[,1
]r,1
6d,1
xv,1
wz,1
cn,1
xk,1
t[,1
]q,1
$l,1
a$,1
(p,1
"),",1
5.,1
c-,1
4.,1
3.,1
2.,1
1.,1
xj,1
zg,1
gz,1
2d,1
.4,1
4d,1
5s,1
[l,1
.8,1
8d,1
",2",1
[f,1
