ngram,count
sea,229
ne'er,229
thoughts,228
seek,226
between,224
edward,223
says,222
sun,222
servant,221
told,221
each,220
to-morrow,220
worthy,220
warwick,219
gold,219
high,218
beseech,218
cry,218
alas,217
ha,217
found,217
pity,217
bloody,216
service,216
people,216
prithee,215
gave,214
ii,214
talk,213
horse,213
foul,211
antipholus,211
desire,210
less,209
royal,208
alone,205
yes,205
grief,204
music,204
purpose,204
sit,204
further,203
half,203
land,203
care,203
thyself,202
breath,202
dare,202
gentlemen,201
draw,200
looks,200
sound,199
ho,199
brought,199
save,199
remember,199
seem,198
brutus,198
kiss,198
company,198
lose,197
read,195
ill,195
uncle,195
ear,195
general,194
knows,193
joy,192
virtue,192
wear,191
air,191
gracious,191
sister,191
given,191
happy,190
patience,189
iii,189
charge,189
law,189
loves,189
proud,189
holy,189
page,188
run,187
soldiers,187
others,187
o'er,187
i.,187
known,187
worth,187
comfort,186
late,186
maid,185
lives,185
hang,184
years,184
because,184
highness,184
serve,183
sorrow,183
field,182
free,182
country,182
sight,182
neither,181
times,181
ask,181
loved,181
arm,180
grave,180
work,179
pass,179
age,178
something,176
bound,176
warrant,175
side,175
cold,175
pleasure,174
days,174
doubt,174
mercy,173
cut,173
money,173
women,172
command,172
goes,172
didst,172
is't,171
need,171
'em,171
trust,171
born,170
thanks,169
strong,169
new,169
yea,169
french,169
to-night,167
certain,167
wind,167
canst,166
fault,166
either,166
fit,165
over,165
beauty,165
hearts,164
ears,164
knave,163
hector,163
truly,162
next,162
sake,161
enemy,161
hate,161
touch,159
foot,159
weep,158
haste,158
ring,158
brave,158
ah,157
hard,157
rich,157
wise,157
content,156
soldier,156
almost,156
ground,156
hell,155
sin,155
strike,155
hark,155
worse,154
open,154
stands,154
sovereign,154
heavens,154
having,153
praise,153
palace,153
don,153
justice,153
heavy,153
to-day,153
deed,153
took,152
iv,152
revenge,151
voice,151
fie,151
above,151
behold,151
english,150
course,150
merry,149
sad,148
cardinal,148
change,148
duty,148
sons,147
oath,147
coming,147
question,147
unless,147
straight,147
married,146
note,146
report,145
methinks,145
twenty,145
common,144
valiant,144
romeo,144
base,143
messenger,143
presently,143
ready,143
black,143
themselves,143
spoke,142
knew,142
drink,142
cassio,142
already,142
murder,142
hot,142
dog,142
lest,141
sick,141
city,141
sirrah,141
ten,141
yield,141
withal,139
four,139
oft,139
de,139
appear,139
person,139
liege,138
eat,138
ladies,138
point,138
needs,137
lead,137
suit,137
soon,137
confess,136
sing,136
deliver,136
want,135
walk,135
traitor,135
watch,135
tender,135
pay,134
met,134
flesh,134
past,133
room,133
dream,132
become,132
wherefore,132
just,131
wars,131
lips,131
signior,131
wonder,131
mouth,131
knight,131
morning,130
fare,130
lucius,129
sworn,129
deny,128
timon,128
flourish,128
moon,127
gives,127
speaks,127
captain,127
counsel,126
glad,126
beat,126
claudio,126
wherein,126
march,126
fetch,125
favour,125
bosom,125
attendants,125
grow,125
fast,125
bold,124
wouldst,124
speech,124
deep,124
five,124
pluck,123
slain,123
pale,123
got,123
witness,123
water,122
hours,122
office,122
bad,122
fell,122
sense,121
'twere,121
attend,121
letters,121
clarence,121
woe,121
sport,120
slave,120
honourable,120
kings,119
conscience,119
behind,119
children,119
suffolk,118
pretty,118
whole,118
door,118
quickly,117
soft,117
troilus,116
spirits,116
fortunes,116
town,115
win,115
rage,115
loss,115
seems,114
count,114
buckingham,114
anon,113
ourselves,113
begin,113
speed,113
write,113
margaret,112
entreat,112
mighty,112
hair,112
often,112
battle,112
bless,112
lordship,112
strength,111
second,111
excellent,111
saint,111
talbot,111
learn,111
along,111
banish,111
friar,110
offence,110
drum,109
issue,109
longer,109
whilst,109
besides,109
hamlet,109
white,108
living,108
masters,108
kate,108
marriage,108
vile,107
passion,107
tale,107
guard,107
enemies,107
offer,106
presence,106
nurse,106
hundred,106
princes,106
teach,106
pompey,106
dies,106
loving,105
valour,105
morrow,105
souls,105
paris,104
died,104
awhile,104
parts,104
lion,104
fashion,104
emperor,103
antonio,103
labour,103
hide,103
scorn,103
heads,103
plain,103
heir,103
ford,103
bears,103
deeds,102
action,102
close,102
noise,102
reads,101
dangerous,101
jest,101
lack,101
curse,101
danger,101
going,101
grant,101
feel,100
suffer,100
hadst,100
london,100
cast,100
force,100
fools,100
feast,100
poison,100
takes,100
went,99
mock,99
understand,99
promise,99
kingdom,99
laugh,99
throw,99
adieu,99
judgment,99
chance,99
shows,98
pride,98
doctor,98
herself,98
quick,98
case,98
whether,98
roman,98
woo,98
shake,98
marcius,98
paper,97
wisdom,97
somerset,97
angelo,97
gates,97
title,97
beg,96
move,96
respect,96
angry,96
wert,96
worship,95
castle,95
choose,95
chamber,95
humour,95
order,95
least,95
tent,95
subject,95
harm,95
prayers,94
writ,94
stood,94
form,94
worst,94
to't,94
consent,94
achilles,93
quarrel,93
plague,93
weak,93
match,93
blow,93
mortal,93
earl,93
buy,92
toward,92
kept,92
treason,92
judge,91
receive,91
hurt,91
thither,91
virtuous,90
stop,90
ta'en,90
lend,90
taken,90
'gainst,90
titus,89
vow,89
health,89
ass,89
fine,89
faults,89
falstaff,89
piece,89
calls,89
bastard,89
ours,89
jove,89
brief,89
cassius,89
won,89
forget,89
alive,89
whither,89
short,89
beard,88
burn,88
sorry,88
low,88
small,88
breast,88
commend,87
foolish,87
measure,87
forward,87
green,87
anne,87
laid,87
seal,87
third,87
patient,87
perceive,87
fill,87
pains,87
army,87
troth,87
iago,87
stir,86
prison,86
coward,86
fearful,86
e'er,85
obey,85
fled,85
forgot,85
opinion,85
honesty,85
golden,85
trumpet,84
dispatch,84
dull,84
try,84
glory,84
harry,83
troy,83
birth,83
servants,83
alarum,83
received,82
whence,82
host,82
drawn,82
carry,82
join,81
among,81
clifford,81
train,81
wounds,81
fresh,81
held,81
safe,81
brook,81
rise,80
're,80
quite,80
hearing,80
greater,80
thence,80
macbeth,80
awake,80
tower,80
broke,80
purse,79
feed,79
wine,79
shape,79
year,79
manner,79
blame,79
cross,79
dinner,78
pleased,78
lived,78
moved,78
trumpets,78
whereof,78
perform,78
simple,78
blind,78
book,78
prisoner,77
boys,77
folly,77
moor,77
trouble,77
walls,77
hero,77
street,77
desires,76
monster,76
cheer,76
holds,76
salisbury,76
knowledge,76
powers,76
dauphin,76
vain,76
shepherd,76
until,76
smile,76
amen,76
jew,75
hail,75
taste,75
demetrius,75
although,75
colour,75
steal,75
la,75
wild,75
sudden,75
wits,74
caius,74
for't,74
princely,74
widow,74
scarce,74
goodly,74
drown,74
tear,74
aught,74
view,74
yonder,74
know'st,74
do't,74
bones,74
ways,74
towards,74
bearing,73
several,73
motion,73
ajax,73
brain,73
alack,73
song,73
melancholy,73
dance,73
grows,73
beggar,73
quiet,73
round,73
creature,73
struck,73
dark,73
valentine,73
cunning,73
borne,72
blows,72
greatness,72
yourselves,72
terms,72
ancient,72
rosalind,72
knock,72
endure,72
proceed,72
double,72
jack,72
falls,72
bolingbroke,72
drop,72
approach,72
forgive,72
affection,72
wast,71
courtesy,71
juliet,71
whiles,71
'twixt,71
kneel,71
forbid,71
promised,71
malice,71
fellows,71
camp,71
honours,71
tongues,71
proof,71
neck,71
marcus,71
cried,71
wash,70
stars,70
used,70
beast,70
blessed,70
seven,70
choice,70
keeps,70
silence,70
bond,70
due,70
citizens,69
proteus,69
cheeks,69
charles,69
embrace,69
making,69
bitter,69
princess,69
liberty,69
shallow,69
occasion,69
shouldst,69
wall,69
edmund,68
advantage,68
excuse,68
owe,68
sings,68
doing,68
heels,68
twice,68
safety,68
wretched,68
defend,68
cleopatra,68
sort,68
rogue,68
silvia,68
bianca,68
damned,67
colours,67
chain,67
shore,67
brothers,67
swords,67
benedick,67
wrongs,67
private,67
guilty,67
manners,67
legs,67
catch,67
christian,67
rough,67
precious,67
fears,67
wound,66
meat,66
led,66
thunder,66
prepare,66
large,66
norfolk,66
madness,66
cheek,66
sharp,66
fury,66
depart,66
weary,66
foes,66
steel,65
courage,65
pure,65
wealth,65
athens,65
lancaster,65
fame,65
sometime,65
fail,65
quoth,65
secret,64
clear,64
drunk,64
food,64
fought,64
story,64
'twill,64
effect,64
deserve,64
desdemona,64
cruel,64
throne,64
kent,64
forest,64
pain,64
follows,64
request,64
bestow,63
thrice,63
becomes,63
claim,63
vi,63
silver,63
anger,63
post,63
rude,63
summer,63
practise,63
nose,63
oaths,63
idle,63
fat,63
fain,63
monstrous,63
foe,63
thief,63
study,63
remain,63
vows,62
few,62
lavinia,62
sometimes,62
church,62
loud,62
following,62
shadow,62
dry,62
v.,62
finger,62
niece,62
dishonour,62
pericles,62
lover,62
reasons,62
priest,61
gain,61
knee,61
wood,61
spend,61
hastings,61
wives,61
tune,61
helen,61
ones,61
proclaim,61
paid,61
bishop,61
montague,61
gift,61
wicked,60
crowns,60
lawful,60
subjects,60
swift,60
coriolanus,60
mayst,60
flowers,60
breathe,60
possess,60
sooner,60
betwixt,60
warlike,60
remembrance,60
fiend,60
winter,60
meaning,60
discourse,60
called,60
senators,60
demand,60
leaves,59
forsworn,59
stain,59
heat,59
dreadful,59
humbly,59
tybalt,59
instant,59
natural,59
feet,59
lucentio,59
storm,59
encounter,59
always,59
hit,59
bow,59
spent,59
argument,59
brow,59
red,58
lovers,58
repent,58
spare,58
percy,58
giving,58
leisure,58
horses,58
aid,58
weeping,58
octavius,58
cries,58
bright,58
consider,58
desperate,58
proper,58
lo,58
deserved,57
dromio,57
forbear,57
charity,57
offend,57
possible,57
reverend,57
beyond,57
goodness,57
thinks,57
protector,57
ease,57
broken,57
easy,57
rose,57
ship,57
evil,57
traitors,57
humble,57
dust,57
officers,57
abroad,56
peter,56
thrive,56
sigh,56
saying,56
stuff,56
wait,56
ghost,56
therein,56
stones,56
rain,56
tyrant,56
buried,56
wanton,56
seat,56
remedy,56
six,56
rare,56
officer,56
envy,56
trial,56
wench,56
shut,56
self,56
list,56
othello,56
nine,56
bids,55
spring,55
cupid,55
leonato,55
freely,55
mend,55
deal,55
betray,55
deceived,55
below,55
doors,55
happiness,55
teeth,55
fond,55
jewel,55
asleep,55
richmond,55
kindness,55
ransom,54
mirth,54
spite,54
voices,54
stone,54
mere,54
wrath,54
gallant,54
begins,54
countenance,54
grown,54
undone,54
fancy,54
venice,54
able,54
protest,54
sign,54
visit,54
daughters,54
former,54
wretch,54
lands,54
denied,53
romans,53
humphrey,53
meeting,53
knees,53
condition,53
girl,53
beatrice,53
heavenly,53
hopes,53
single,53
wings,53
toby,53
horns,53
hermia,53
perfect,53
public,53
griefs,53
clouds,53
sits,53
spoken,53
doom,52
gate,52
petruchio,52
flight,52
search,52
durst,52
learned,52
vengeance,52
realm,52
ducats,52
affairs,52
credit,52
northumberland,52
lysander,52
flies,52
streets,52
shed,52
dearest,52
seeing,52
authority,52
camillo,52
number,52
slender,52
weigh,52
hers,52
tribunes,52
nought,52
tomb,52
spake,51
swore,51
counterfeit,51
flatter,51
appears,51
provost,51
guess,51
hanged,51
lieutenant,51
blest,51
intend,51
delight,51
gross,51
bought,51
bardolph,51
innocent,51
burgundy,51
slander,51
damn,51
faces,51
suddenly,51
minds,51
cure,51
served,51
gown,50
cursed,50
seeming,50
empress,50
tree,50
warm,50
c,50
andronicus,50
particular,50
bade,50
bottom,50
vouchsafe,50
trick,50
george,50
despair,50
villany,50
blush,50
estate,50
winds,50
vice,50
greatest,50
beloved,50
quality,49
turns,49
womb,49
top,49
enjoy,49
table,49
tranio,49
absence,49
posthumus,49
obedience,49
heed,49
exeter,49
slaughter,49
sum,49
cease,49
meant,49
throat,49
render,49
knife,49
capulet,49
i'ld,49
pound,49
early,49
brings,49
plot,49
rule,49
tidings,49
perchance,49
sail,49
pyramus,49
bassanio,49
sickness,49
virtues,49
thomas,49
wake,49
sighs,49
convey,49
breed,49
rascal,48
helena,48
jealous,48
frown,48
stranger,48
intent,48
glass,48
egypt,48
modesty,48
dread,48
wont,48
ride,48
kinsman,48
deadly,48
challenge,48
empty,48
slow,48
aufidius,48
ambition,48
contempt,48
assure,48
satisfied,48
ends,48
commission,48
neighbour,48
triumph,47
names,47
hollow,47
darest,47
express,47
bark,47
ignorant,47
forsooth,47
seas,47
villains,47
portia,47
plead,47
gifts,47
hortensio,47
custom,47
supper,47
success,47
followers,47
reign,47
mortimer,47
contrary,47
except,47
employ,47
arthur,47
bend,47
quit,46
baptista,46
painted,46
memory,46
wide,46
naked,46
entertain,46
roderigo,46
tedious,46
sack,46
sacred,46
shot,46
garments,46
twelve,46
hereafter,46
outward,46
puts,46
bare,46
merit,46
angel,46
say'st,46
parted,46
herald,46
despite,46
ruin,46
offended,46
pisanio,46
perhaps,46
raise,46
prize,46
undertake,46
hie,46
season,46
resolved,46
reputation,46
fish,45
drops,45
cap,45
knights,45
loose,45
equal,45
sooth,45
horatio,45
crack,45
gentlewoman,45
lovely,45
agamemnon,45
beaten,45
bodies,45
dares,45
sides,45
victory,45
armour,45
ariel,45
fairly,45
conduct,45
maiden,45
abused,45
main,45
divine,45
o'clock,45
plantagenet,45
lust,45
devise,45
orleans,45
lock,45
rank,45
mars,45
repair,45
crave,45
sleeps,45
limbs,44
maintain,44
disposition,44
assured,44
fatal,44
glorious,44
knowing,44
william,44
imogen,44
flood,44
degree,44
clown,44
shortly,44
condemn,44
execution,44
methought,44
thrust,44
hugh,44
skill,44
according,44
constant,44
behalf,44
smiles,44
ladyship,44
liest,44
sheep,44
blessing,44
dying,44
treasure,44
flower,44
hid,44
maids,44
blunt,44
fits,44
thieves,44
utter,44
garden,43
capitol,43
graces,43
device,43
banquo,43
orlando,43
root,43
burning,43
fiery,43
taught,43
cup,43
tarry,43
sleeping,43
unknown,43
malvolio,43
brows,43
laertes,43
sees,43
desert,43
add,43
dreams,43
dearly,43
katharina,43
friendship,43
hubert,43
aim,43
runs,43
smell,43
civil,43
tempest,43
whore,43
knaves,43
sirs,43
salt,43
profit,42
press,42
dagger,42
bred,42
'faith,42
bury,42
bind,42
bawd,42
woes,42
monsieur,42
catesby,42
reverence,42
belike,42
finds,42
dogs,42
odds,42
prisoners,42
sorrows,42
brains,42
alike,42
policy,42
speaking,42
tread,42
thinking,42
haply,42
cave,42
prevail,42
apt,42
julia,42
revenged,42
lewis,42
chide,42
fate,42
displeasure,42
attended,42
frame,42
discover,42
party,42
advice,42
misery,42
changed,42
fathers,42
afraid,42
pair,42
midnight,41
constable,41
drums,41
minister,41
thou'rt,41
revolt,41
account,41
regard,41
weight,41
wither,41
month,41
retire,41
sore,41
charmian,41
grey,41
solemn,41
violent,41
hazard,41
advise,41
stomach,41
iron,41
apart,41
bird,41
impossible,41
mischief,41
greet,41
seest,41
deer,40
trade,40
oxford,40
perforce,40
cell,40
duchess,40
tut,40
star,40
shine,40
yond,40
bounty,40
grieve,40
peril,40
witch,40
wants,40
tells,40
creatures,40
sends,40
fairest,40
sway,40
temper,40
aeneas,40
pour,40
tamora,40
winchester,40
cost,40
native,40
henceforth,40
sounds,40
prepared,40
banished,40
aaron,40
heartily,39
weeds,39
babe,39
commanded,39
praised,39
chaste,39
fairy,39
places,39
lucilius,39
ripe,39
countrymen,39
clothes,39
fierce,39
emilia,39
inform,39
peers,39
necessity,39
staff,39
devils,39
marina,39
figure,39
months,39
unnatural,39
delay,39
debt,39
bite,39
sentence,39
saved,39
conceit,39
enobarbus,39
favours,39
hangs,39
fingers,39
forces,39
disgrace,39
unhappy,39
darkness,39
isle,39
surely,39
faint,39
firm,38
armed,38
slew,38
modest,38
suspect,38
think'st,38
hardly,38
habit,38
picture,38
pause,38
line,38
virgin,38
killed,38
wears,38
govern,38
lean,38
confirm,38
prey,38
earnest,38
image,38
amazed,38
lear,38
hateful,38
mistake,38
infinite,38
weapons,38
sell,38
marks,38
tide,38
banishment,38
remains,38
minute,38
wreck,38
stroke,38
sold,38
gaunt,38
big,38
ignorance,38
v,38
complexion,38
council,38
padua,38
kisses,38
wrought,37
arise,37
instrument,37
disguised,37
edge,37
pistol,37
unworthy,37
bride,37
object,37
difference,37
smooth,37
joan,37
entertainment,37
east,37
reward,37
sky,37
proved,37
amongst,37
vincentio,37
avoid,37
chair,37
dumb,37
deserves,37
nobles,37
companion,37
willing,37
monument,37
benefit,37
katharine,37
waste,37
ephesus,37
edgar,37
hill,37
nobility,37
murderer,37
ambitious,37
draws,37
stays,36
wounded,36
cressid,36
mouths,36
whip,36
wed,36
reading,36
rob,36
apparel,36
hal,36
friendly,36
cominius,36
hall,36
angels,36
wales,36
north,36
eros,36
elder,36
mayor,36
prayer,36
hercules,36
maria,36
pieces,36
bent,36
calm,36
nobly,36
forced,36
slept,36
stoop,36
lepidus,36
expect,36
sayest,36
rock,36
strikes,36
fairies,36
leg,36
britain,36
'the,36
defence,36
felt,36
sink,36
handkerchief,36
abuse,36
disdain,36
cat,36
special,36
le,36
acquainted,35
envious,35
length,35
diana,35
aboard,35
stronger,35
douglas,35
tremble,35
charm,35
glove,35
senses,35
attempt,35
accuse,35
mountain,35
commit,35
launcelot,35
numbers,35
otherwise,35
punish,35
corn,35
pandarus,35
amiss,35
lip,35
hat,35
parolles,35
francis,35
drive,35
costard,35
thurio,35
pleasures,35
language,35
slaves,35
diomed,35
blown,35
clock,35
circumstance,35
kindly,35
twain,35
gall,35
biron,35
cade,35
allow,35
purposes,35
dwell,35
worn,35
withdraw,35
eight,35
direct,35
tame,35
vantage,35
committed,34
sebastian,34
olivia,34
cymbeline,34
books,34
guest,34
morn,34
lamb,34
dignity,34
younger,34
hereford,34
standing,34
willingly,34
familiar,34
faithful,34
snow,34
leonatus,34
priam,34
dew,34
borrow,34
vessel,34
silent,34
patroclus,34
italy,34
sweat,34
strain,34
recover,34
wishes,34
miserable,34
looking,34
cares,34
thrown,34
laws,34
crying,34
groan,34
serves,34
passage,34
prologue,34
also,34
marvel,34
substance,34
roar,34
cover,34
jupiter,34
groans,34
partly,34
courtier,34
pocket,34
coz,34
renowned,34
fairer,34
island,33
task,33
confusion,33
esteem,33
biondello,33
speak'st,33
services,33
turned,33
cloten,33
milan,33
league,33
e'en,33
fox,33
passing,33
rotten,33
nights,33
sought,33
message,33
thereof,33
falsehood,33
bleed,33
beasts,33
gremio,33
confound,33
compass,33
acquaintance,33
discretion,33
charged,33
hostess,33
oh,33
grumio,33
affections,33
senate,33
perish,33
ulysses,33
wondrous,33
fruit,33
huge,33
lorenzo,33
began,33
conference,33
hanging,33
rail,33
polonius,33
worm,33
taking,33
casca,33
stolen,33
trojan,32
signs,32
wing,32
mount,32
rivers,32
chief,32
knit,32
temple,32
savage,32
ope,32
pinch,32
bassianus,32
advised,32
sins,32
urge,32
isabella,32
whisper,32
travel,32
window,32
shown,32
tyranny,32
earthly,32
cuckold,32
saucy,32
sceptre,32
weeps,32
start,32
beside,32
enforce,32
menenius,32
resolve,32
persuade,32
consul,32
goths,32
thersites,32
guarded,32
regan,32
kin,32
exchange,32
banquet,32
appetite,32
aumerle,32
observe,32
guildenstern,32
plays,32
knocking,32
gratiano,32
enterprise,32
fall'n,32
pomp,32
strive,32
pursue,32
physic,32
jealousy,32
seize,32
wholesome,32
bell,32
bertram,32
belly,32
cool,32
apemantus,32
furnish,32
cur,32
et,32
eternal,32
dish,32
secure,32
accept,32
pitch,31
smiling,31
suspicion,31
wept,31
quench,31
waters,31
players,31
usurp,31
ireland,31
zeal,31
fright,31
accursed,31
ashamed,31
barren,31
refuse,31
pleasant,31
alter,31
chase,31
appointed,31
bore,31
purchase,31
strife,31
merchant,31
nephew,31
attendant,31
fed,31
gather,31
coat,31
jessica,31
shoulders,31
suck,31
nestor,31
abide,31
continue,31
serpent,31
bravely,31
ruled,31
sour,31
profess,31
higher,31
cordelia,31
fields,31
absolute,31
grecian,31
wisely,31
grandam,31
error,31
freedom,31
looked,31
suppose,31
prick,31
satisfaction,31
height,31
leap,31
couldst,30
pen,30
absent,30
privilege,30
burthen,30
sounded,30
loath,30
naples,30
pitiful,30
gait,30
drew,30
tall,30
camest,30
toil,30
undo,30
birds,30
breach,30
directly,30
needful,30
honey,30
tempt,30
tricks,30
pucelle,30
tom,30
provide,30
possession,30
comest,30
troubled,30
loyal,30
alencon,30
written,30
gar,30
bar,30
rash,30
lately,30
leads,30
wolf,30
afeard,30
carried,30
rid,30
horn,30
lights,30
kindred,30
miss,30
fifty,30
hunt,30
basket,30
suits,30
gently,30
siege,30
beheld,30
odd,30
'scape,30
stage,30
varro,30
graves,30
pate,30
obedient,30
nation,30
moment,30
singing,30
macduff,29
tailor,29
mourn,29
feeling,29
parley,29
forty,29
weather,29
famous,29
peevish,29
pace,29
commands,29
thisby,29
ships,29
interest,29
westmoreland,29
octavia,29
parting,29
notice,29
bay,29
petty,29
thick,29
spur,29
joyful,29
garter,29
shapes,29
daily,29
desired,29
torture,29
boast,29
space,29
spoil,29
subtle,29
conclusion,29
corse,29
granted,29
delicate,29
lusty,29
commons,29
nerissa,29
pronounce,29
flow,29
rhyme,29
beshrew,29
jewels,29
andrew,29
raised,29
destroy,29
invisible,29
ran,29
beholding,29
removed,29
term,29
lovest,29
mild,29
dismiss,29
ophelia,29
resolution,29
dam,29
store,29
unfold,29
fares,29
yoke,29
easily,29
remove,29
spit,29
caught,29
kills,29
urged,29
stamp,29
curses,29
shook,29
audience,29
adam,29
humours,29
conquer,29
beauteous,29
censure,29
prospero,29
troop,29
pawn,29
visage,29
beware,28
conjure,28
placed,28
lad,28
reach,28
ago,28
goneril,28
theirs,28
conclude,28
preparation,28
goose,28
destruction,28
bohemia,28
provided,28
cowards,28
je,28
robert,28
learning,28
strumpet,28
whoreson,28
hairs,28
remorse,28
stream,28
ended,28
tyre,28
spleen,28
moral,28
advance,28
seldom,28
steps,28
aged,28
extremity,28
severally,28
assurance,28
renown,28
defy,28
step,28
'twould,28
crow,28
sat,28
terror,28
happily,28
wax,28
key,28
lesser,28
rosencrantz,28
foreign,28
cock,28
price,28
ferdinand,28
liberal,28
value,28
joys,28
stanley,28
sitting,28
nails,28
example,28
butcher,27
alarums,27
dozen,27
farther,27
journey,27
begun,27
pierce,27
beats,27
rosaline,27
virginity,27
supply,27
token,27
terrible,27
quarter,27
countess,27
hears,27
windsor,27
burst,27
shoot,27
knot,27
wander,27
opposed,27
viii,27
newly,27
syracuse,27
soil,27
rapier,27
weapon,27
grew,27
mar,27
'fore,27
imagination,27
rouse,27
cyprus,27
elbow,27
boot,27
robin,27
forfeit,27
cheque,27
actions,27
towns,27
aloud,27
behavior,27
harsh,27
fee,27
oracle,27
week,27
liking,27
melt,27
trees,27
troops,27
recompense,27
dress,27
share,27
greek,27
ceremony,27
kissing,27
discharge,27
satisfy,27
breaks,27
conquest,27
government,27
wink,27
sole,27
guilt,27
lent,27
rescue,27
injury,27
county,27
arrived,27
husbands,27
eagle,27
lying,27
vex,27
stretch,27
treacherous,27
wolsey,27
perjured,26
sisters,26
fifth,26
ink,26
points,26
intelligence,26
greeks,26
pick,26
herein,26
likes,26
spy,26
whate'er,26
apace,26
titinius,26
redeem,26
contract,26
human,26
conceive,26
shield,26
touching,26
praises,26
merely,26
throats,26
curst,26
dote,26
chamberlain,26
pack,26
villanous,26
proportion,26
laughter,26
lower,26
spurn,26
theme,26
delivered,26
strongly,26
allegiance,26
bleeding,26
stick,26
sue,26
prosperous,26
mile,26
senseless,26
whipped,26
talking,26
park,26
wills,26
sting,26
corrupt,26
stern,26
worcester,26
manhood,26
wot,26
veins,26
swallow,26
afternoon,26
jaques,26
shines,26
seeks,26
west,26
aspect,26
stock,26
mercutio,26
justly,26
grandsire,26
hated,26
closet,26
torment,26
apollo,26
paulina,26
gertrude,26
preserve,26
bidding,26
hermione,26
goddess,26
domitius,26
nice,26
certainly,26
isabel,26
shylock,26
shrewd,25
lines,25
dine,25
offices,25
matters,25
stephano,25
rush,25
yesterday,25
likewise,25
tied,25
roaring,25
stale,25
redress,25
creep,25
swears,25
spread,25
combat,25
orchard,25
commonwealth,25
dian,25
sufferance,25
messala,25
owes,25
nest,25
