word,stem,lemma
anoint,anoint,anoint
anointed,anoint,anoint
anon,anon,anon
another,anoth,another
anselme,anselm,anselme
answer,answer,answer
answerable,answer,answerable
answerer,answer,answerer
ant,ant,ant
ante,ant,ante
antechamber,antechamb,antechamber
antenor,antenor,antenor
antenoride,antenorid,antenoride
anthem,anthem,anthem
anthony,anthoni,anthony
anthropophagi,anthropophagi,anthropophagi
anthropophaginian,anthropophaginian,anthropophaginian
antiate,antiat,antiate
antic,antic,antic
anticipat,anticipat,anticipat
anticipate,anticip,anticipate
anticipation,anticip,anticipation
antick,antick,antick
anticly,anticli,anticly
antidote,antidot,antidote
antigonus,antigonu,antigonus
antioch,antioch,antioch
antiochu,antiochu,antiochu
antiochus,antiochu,antiochu
antiopa,antiopa,antiopa
antipathy,antipathi,antipathy
antipholus,antipholu,antipholus
antipholuse,antipholus,antipholuse
antipode,antipod,antipode
antiquary,antiquari,antiquary
antique,antiqu,antique
antiquity,antiqu,antiquity
antiquius,antiquiu,antiquius
antium,antium,antium
antoniad,antoniad,antoniad
antonio,antonio,antonio
antonius,antoniu,antonius
antony,antoni,antony
antre,antr,antre
anvil,anvil,anvil
anything,anyth,anything
apace,apac,apace
apart,apart,apart
apartment,apart,apartment
apartments,apart,apartment
ape,ape,ape
apemantus,apemantu,apemantus
apennine,apennin,apennine
apex,apex,apex
apiece,apiec,apiece
apish,apish,apish
apollinem,apollinem,apollinem
apollo,apollo,apollo
apollodorus,apollodoru,apollodorus
apollos,apollo,apollo
apology,apolog,apology
apoplex,apoplex,apoplex
apoplexy,apoplexi,apoplexy
apostle,apostl,apostle
apostrapha,apostrapha,apostrapha
apothecary,apothecari,apothecary
appal,appal,appal
appall,appal,appall
appalled,appal,appal
apparel,apparel,apparel
apparell,apparel,apparell
apparelle,apparel,apparelle
apparent,appar,apparent
apparently,appar,apparently
apparition,apparit,apparition
appeach,appeach,appeach
appeal,appeal,appeal
appeall,appeal,appeall
appear,appear,appear
appearance,appear,appearance
appearer,appear,appearer
appeareth,appeareth,appeareth
appease,appeas,appease
appeased,appeas,appease
appele,appel,appele
appelee,appele,appelee
appelez,appelez,appelez
appellant,appel,appellant
appelon,appelon,appelon
appendix,appendix,appendix
apperil,apperil,apperil
appertain,appertain,appertain
appertaining,appertain,appertain
appertainment,appertain,appertainment
appertinent,appertin,appertinent
appetite,appetit,appetite
applaud,applaud,applaud
applause,applaus,applause
apple,appl,apple
appliance,applianc,appliance
application,applic,application
apply,appli,apply
appoint,appoint,appoint
appointment,appoint,appointment
apprehend,apprehend,apprehend
apprehendest,apprehendest,apprehendest
apprehension,apprehens,apprehension
apprehensive,apprehens,apprehensive
apprendre,apprendr,apprendre
apprenne,apprenn,apprenne
apprenticehood,apprenticehood,apprenticehood
appris,appri,appris
approach,approach,approach
approacher,approach,approacher
approacheth,approacheth,approacheth
approbation,approb,approbation
approof,approof,approof
appropriation,appropri,appropriation
approve,approv,approve
approver,approv,approver
approves,approv,approve
appurtenance,appurten,appurtenance
apricock,apricock,apricock
april,april,april
apron,apron,apron
apt,apt,apt
apter,apter,apter
aptly,aptli,aptly
aptness,apt,aptness
aqua,aqua,aqua
aquilon,aquilon,aquilon
aquitaine,aquitain,aquitaine
arabia,arabia,arabia
arabian,arabian,arabian
araise,arais,araise
arbitrate,arbitr,arbitrate
arbitrating,arbitr,arbitrate
arbitrator,arbitr,arbitrator
arbitrement,arbitr,arbitrement
arbour,arbour,arbour
arc,arc,arc
arch,arch,arch
archbishop,archbishop,archbishop
archbishopric,archbishopr,archbishopric
archdeacon,archdeacon,archdeacon
archelaus,archelau,archelaus
archer,archer,archer
archery,archeri,archery
archibald,archibald,archibald
archidamus,archidamu,archidamus
architect,architect,architect
arcu,arcu,arcu
arde,ard,arde
arden,arden,arden
ardent,ardent,ardent
ardour,ardour,ardour
argal,argal,argal
argentine,argentin,argentine
argier,argier,argi
argo,argo,argo
argosy,argosi,argosy
argue,argu,argue
argument,argument,argument
argus,argu,argus
ariachne,ariachn,ariachne
ariadne,ariadn,ariadne
arie,ari,arie
ariel,ariel,ariel
aright,aright,aright
arion,arion,arion
arise,aris,arise
ariseth,ariseth,ariseth
aristotle,aristotl,aristotle
arithmetic,arithmet,arithmetic
arithmetician,arithmetician,arithmetician
ark,ark,ark
arm,arm,arm
arma,arma,arma
armado,armado,armado
armadoes,armado,armadoe
armagnac,armagnac,armagnac
arme,arm,arme
armed,arm,arm
armenia,armenia,armenia
armigero,armigero,armigero
arming,arm,arm
armipotent,armipot,armipotent
armory,armori,armory
armour,armour,armour
armourer,armour,armourer
armours,armour,armour
armoury,armouri,armoury
arms,arm,arm
army,armi,army
aroint,aroint,aroint
arouse,arous,arouse
arra,arra,arra
arragon,arragon,arragon
arraign,arraign,arraign
arraignment,arraign,arraignment
arrant,arrant,arrant
array,array,array
arrearage,arrearag,arrearage
arrest,arrest,arrest
arrival,arriv,arrival
arrivance,arriv,arrivance
arrive,arriv,arrive
arrogance,arrog,arrogance
arrogancy,arrog,arrogancy
arrogant,arrog,arrogant
arrow,arrow,arrow
art,art,art
artemidoru,artemidoru,artemidoru
artemidorus,artemidoru,artemidoru
artery,arteri,artery
arthur,arthur,arthur
article,articl,article
articulate,articul,articulate
artificer,artific,artificer
artificial,artifici,artificial
artillery,artilleri,artillery
artist,artist,artist
artless,artless,artless
artois,artoi,artois
arts,art,art
artus,artu,artus
arviragus,arviragu,arviragus
asaph,asaph,asaph
ascanius,ascaniu,ascanius
ascend,ascend,ascend
ascendeth,ascendeth,ascendeth
ascension,ascens,ascension
ascent,ascent,ascent
ascribe,ascrib,ascribe
ash,ash,ash
ashame,asham,ashame
ashamed,asham,ashame
ashe,ash,ashe
asher,asher,asher
ashes,ash,ashe
ashford,ashford,ashford
ashore,ashor,ashore
ashy,ashi,ashy
asia,asia,asia
aside,asid,aside
ask,ask,ask
askance,askanc,askance
asker,asker,asker
asketh,asketh,asketh
asking,ask,ask
asks,ask,ask
aslant,aslant,aslant
asleep,asleep,asleep
asmath,asmath,asmath
asp,asp,asp
aspect,aspect,aspect
aspen,aspen,aspen
aspersion,aspers,aspersion
aspic,aspic,aspic
aspicious,aspici,aspicious
aspiration,aspir,aspiration
aspire,aspir,aspire
ass,ass,ass
assail,assail,assail
assailable,assail,assailable
assailant,assail,assailant
assaileth,assaileth,assaileth
assailing,assail,assail
assassination,assassin,assassination
assault,assault,assault
assaulted,assault,assault
assay,assay,assay
assaying,assay,assay
asse,ass,asse
assemble,assembl,assemble
assembled,assembl,assemble
assembly,assembl,assembly
assence,assenc,assence
assent,assent,assent
assez,assez,assez
asshead,asshead,asshead
assign,assign,assign
assinego,assinego,assinego
assist,assist,assist
assistance,assist,assistance
assistant,assist,assistant
associate,associ,associate
assuage,assuag,assuage
assubjugate,assubjug,assubjugate
assume,assum,assume
assumption,assumpt,assumption
assurance,assur,assurance
assure,assur,assure
assured,assur,assure
assuredly,assuredli,assuredly
assyrian,assyrian,assyrian
astonish,astonish,astonish
astraea,astraea,astraea
astray,astray,astray
astronomer,astronom,astronomer
astronomical,astronom,astronomical
asunder,asund,asunder
atalanta,atalanta,atalanta
ate,ate,eat
athen,athen,athen
athenian,athenian,athenian
athenians,athenian,athenian
athens,athen,athens
athol,athol,athol
athversary,athversari,athversary
athwart,athwart,athwart
atlas,atla,atlas
atomie,atomi,atomie
atone,aton,atone
atonement,aton,atonement
att,att,att
attach,attach,attach
attachment,attach,attachment
attain,attain,attain
attainder,attaind,attainder
attaint,attaint,attaint
attainture,attaintur,attainture
attask,attask,attask
attempt,attempt,attempt
attemptable,attempt,attemptable
attend,attend,attend
attendance,attend,attendance
attendant,attend,attendant
attendeth,attendeth,attendeth
attending,attend,attend
attent,attent,attent
attention,attent,attention
attentive,attent,attentive
attentiveness,attent,attentiveness
attest,attest,attest
attire,attir,attire
attired,attir,attire
attires,attir,attire
attorney,attorney,attorney
attorneyed,attorney,attorneye
attorneyship,attorneyship,attorneyship
attract,attract,attract
attraction,attract,attraction
attractive,attract,attractive
attribute,attribut,attribute
attribution,attribut,attribution
attributive,attribut,attributive
aubrey,aubrey,aubrey
auburn,auburn,auburn
aucun,aucun,aucun
audacious,audaci,audacious
audaciously,audaci,audaciously
audacity,audac,audacity
audible,audibl,audible
audience,audienc,audience
audis,audi,audis
audit,audit,audit
auditor,auditor,auditor
auditory,auditori,auditory
audrey,audrey,audrey
aufidius,aufidiu,aufidius
aufidiuse,aufidius,aufidiuse
auger,auger,auger
aught,aught,aught
augment,augment,augment
augmentation,augment,augmentation
augmented,augment,augment
augurer,augur,augurer
auguring,augur,augur
augurs,augur,augur
augury,auguri,augury
august,august,august
augustus,augustu,augustus
auld,auld,auld
aumerle,aumerl,aumerle
aunchient,aunchient,aunchient
aunt,aunt,aunt
auricular,auricular,auricular
aurora,aurora,aurora
auspicious,auspici,auspicious
aussi,aussi,aussi
austere,auster,austere
austerely,auster,austerely
austereness,auster,austereness
austerity,auster,austerity
austria,austria,austria
aut,aut,aut
authentic,authent,authentic
author,author,author
authority,author,authority
authorize,author,authorize
autolycus,autolycu,autolycus
autre,autr,autre
autumn,autumn,autumn
auvergne,auvergn,auvergne
avail,avail,avail
avarice,avaric,avarice
avaricious,avarici,avaricious
avaunt,avaunt,avaunt
ave,ave,ave
avenge,aveng,avenge
avenue,avenu,avenue
avert,avert,avert
avez,avez,avez
avise,avis,avise
avoid,avoid,avoid
avouch,avouch,avouch
avouche,avouch,avouche
avouches,avouch,avouche
avouchment,avouch,avouchment
avow,avow,avow
await,await,await
awake,awak,awake
awaken,awaken,awaken
award,award,award
awards,award,award
away,away,away
awe,awe,awe
aweary,aweari,aweary
awed,awe,awed
aweless,aweless,aweless
awful,aw,awful
awhi,awhi,awhi
awhile,awhil,awhile
awkward,awkward,awkward
awl,awl,awl
awry,awri,awry
axe,axe,axe
axle,axl,axle
aye,aye,aye
ayez,ayez,ayez
azure,azur,azure
azured,azur,azure
baa,baa,baa
babble,babbl,babble
babbling,babbl,babble
babe,babe,babe
baboon,baboon,baboon
baby,babi,baby
babylon,babylon,babylon
baccare,baccar,baccare
bacchanal,bacchan,bacchanal
bacchus,bacchu,bacchus
bachelor,bachelor,bachelor
bachelorship,bachelorship,bachelorship
back,back,back
backdoor,backdoor,backdoor
backing,back,back
backside,backsid,backside
backward,backward,backward
backwardly,backwardli,backwardly
backwards,backward,backwards
bacon,bacon,bacon
bad,bad,bad
bade,bade,bade
badge,badg,badge
badged,badg,badge
badly,badli,badly
badness,bad,badness
baes,bae,baes
baffle,baffl,baffle
bag,bag,bag
baggage,baggag,baggage
bagot,bagot,bagot
bagpipe,bagpip,bagpipe
bail,bail,bail
bailiff,bailiff,bailiff
baille,baill,baille
baily,baili,baily
bais,bai,bais
baisant,baisant,baisant
baisee,baise,baisee
bait,bait,bait
baited,bait,bait
baiting,bait,bait
bajazet,bajazet,bajazet
bake,bake,bake
baked,bake,bake
baker,baker,baker
balance,balanc,balance
balanced,balanc,balanced
balcony,balconi,balcony
bald,bald,bald
baldpate,baldpat,baldpate
baldrick,baldrick,baldrick
bale,bale,bale
baleful,bale,baleful
balk,balk,balk
ball,ball,ball
ballad,ballad,ballad
ballast,ballast,ballast
ballasting,ballast,ballast
ballow,ballow,ballow
balm,balm,balm
balmy,balmi,balmy
balsam,balsam,balsam
balsamum,balsamum,balsamum
balthasar,balthasar,balthasar
balthazar,balthazar,balthazar
ban,ban,ban
banbury,banburi,banbury
band,band,band
bandied,bandi,bandy
banding,band,band
banditti,banditti,banditti
banditto,banditto,banditto
bandy,bandi,bandy
bandying,bandi,bandy
bane,bane,bane
bang,bang,bang
bangor,bangor,bangor
banish,banish,banish
banished,banish,banish
banisher,banish,banisher
banishment,banish,banishment
banister,banist,banister
bank,bank,bank
bankrupt,bankrupt,bankrupt
bann,bann,bann
banner,banner,banner
banneret,banneret,banneret
banns,bann,bann
banquet,banquet,banquet
banqueted,banquet,banquet
banqueting,banquet,banquet
banquo,banquo,banquo
baptism,baptism,baptism
baptist,baptist,baptist
baptista,baptista,baptista
baptize,baptiz,baptize
bar,bar,bar
barbara,barbara,barbara
barbarian,barbarian,barbarian
barbarism,barbar,barbarism
barbarous,barbar,barbarous
barbary,barbari,barbary
barbason,barbason,barbason
barbed,barb,barb
barber,barber,barber
bard,bard,bard
barde,bard,barde
bardolph,bardolph,bardolph
bare,bare,bare
bared,bare,bare
bareface,barefac,bareface
barefoot,barefoot,barefoot
bareheade,barehead,bareheade
barely,bare,barely
bareness,bare,bareness
barful,bar,barful
bargain,bargain,bargain
barge,barg,barge
bargulus,bargulu,bargulus
bark,bark,bark
barkest,barkest,barkest
barking,bark,bark
barkloughly,barkloughli,barkloughly
barky,barki,barky
barley,barley,barley
barm,barm,barm
barn,barn,barn
barnacle,barnacl,barnacle
barnardine,barnardin,barnardine
barne,barn,barne
barnet,barnet,barnet
barns,barn,barn
baron,baron,baron
barr,barr,barr
barrabas,barraba,barrabas
barrel,barrel,barrel
barren,barren,barren
barrenness,barren,barrenness
barricado,barricado,barricado
barricadoe,barricado,barricadoe
barrow,barrow,barrow
barter,barter,barter
barthol,barthol,barthol
bartholomew,bartholomew,bartholomew
basan,basan,basan
base,base,base
baseless,baseless,baseless
basely,base,basely
baseness,base,baseness
baser,baser,baser
basest,basest,base
bashful,bash,bashful
bashfulness,bash,bashfulness
basilisco,basilisco,basilisco
basilisk,basilisk,basilisk
basimecu,basimecu,basimecu
basin,basin,basin
basis,basi,basis
bask,bask,bask
basket,basket,basket
bass,bass,bass
bassanio,bassanio,bassanio
basset,basset,basset
bassianu,bassianu,bassianu
bassianus,bassianu,bassianu
basta,basta,basta
bastard,bastard,bastard
bastardize,bastard,bastardize
bastards,bastard,bastard
bastardy,bastardi,bastardy
baste,bast,baste
bastinado,bastinado,bastinado
basting,bast,baste
bat,bat,bat
bataille,batail,bataille
batch,batch,batch
bate,bate,bate
bated,bate,bate
bates,bate,bate
bath,bath,bath
bathe,bath,bathe
bathing,bath,bathe
bating,bate,bate
batlet,batlet,batlet
battalion,battalion,battalion
batten,batten,batten
batter,batter,batter
battery,batteri,battery
battle,battl,battle
battlement,battlement,battlement
batty,batti,batty
bauble,baubl,bauble
bavin,bavin,bavin
bawble,bawbl,bawble
bawcock,bawcock,bawcock
bawd,bawd,bawd
bawdry,bawdri,bawdry
bawds,bawd,bawd
bawdy,bawdi,bawdy
bawl,bawl,bawl
bay,bay,bay
baynard,baynard,baynard
bayonne,bayonn,bayonne
beach,beach,beach
beacon,beacon,beacon
bead,bead,bead
beadle,beadl,beadle
beads,bead,bead
beadsman,beadsman,beadsman
beagle,beagl,beagle
beak,beak,beak
beam,beam,beam
bean,bean,bean
beans,bean,bean
bear,bear,bear
beard,beard,beard
bearded,beard,beard
beardless,beardless,beardless
beare,bear,beare
bearer,bearer,bearer
bearest,bearest,bearest
beareth,beareth,beareth
bearing,bear,bear
bears,bear,bear
beart,beart,beart
beast,beast,beast
beastliest,beastliest,beastly
beastliness,beastli,beastliness
beastly,beastli,beastly
beasts,beast,beast
beat,beat,beat
beaten,beaten,beat
beating,beat,beat
beatrice,beatric,beatrice
beats,beat,beat
beau,beau,beau
beaufort,beaufort,beaufort
